t	jet	cocoon
9.74e+00 1.77e+00 8.81e+00
1.09e+01 2.09e+00 9.46e+00
1.23e+01 2.49e+00 1.04e+01
1.38e+01 2.98e+00 1.15e+01
1.54e+01 3.58e+00 1.28e+01
1.73e+01 4.26e+00 1.42e+01
1.94e+01 5.08e+00 1.60e+01
2.18e+01 5.97e+00 1.77e+01
2.45e+01 7.00e+00 1.94e+01
2.75e+01 8.10e+00 2.09e+01
3.08e+01 9.42e+00 2.22e+01
3.46e+01 1.10e+01 2.29e+01
3.88e+01 1.32e+01 2.35e+01
4.35e+01 1.62e+01 2.36e+01
4.88e+01 1.98e+01 2.38e+01
5.48e+01 2.33e+01 2.49e+01
6.15e+01 2.67e+01 2.71e+01
6.90e+01 3.01e+01 2.94e+01
7.74e+01 3.46e+01 3.18e+01
8.68e+01 3.98e+01 3.36e+01
9.74e+01 4.46e+01 3.45e+01
1.09e+02 4.92e+01 3.42e+01
1.23e+02 5.26e+01 3.34e+01
1.38e+02 5.36e+01 3.21e+01
1.54e+02 5.29e+01 3.08e+01
1.73e+02 5.18e+01 2.90e+01
1.94e+02 4.80e+01 2.70e+01
2.18e+02 4.26e+01 2.50e+01
2.45e+02 3.62e+01 2.29e+01
2.75e+02 2.93e+01 2.08e+01
3.08e+02 2.20e+01 1.89e+01
3.46e+02 1.70e+01 1.73e+01
