delta_t telescope frequency flux rms
10.37 VLA 6.2 7.8 2.5
16.42 VLA 3.0 18.7 6.3
17.39 VLA 3.0 15.1 3.9
18.33 VLA 3.0 14.5 3.7
19.35 VLA 6.2 15.9 5.5
21.36 VLA 6.2 13.6 2.9
22.36 VLA 3.0 22.5 3.4
23.36 VLA 6.0 22.6 3.4
24.26 VLA 3.0 25.6 2.9
31.32 VLA 3.0 34.0 3.6
35.34 VLA 1.5 44.0 10.0
46.26 VLA 3.0 44.0 4.0
53.26 VLA 6.0 32.0 4.0
54.27 VLA 3.0 48.0 6.0
57.22 VLA 3.0 61.0 9.0
65.14 GMRT 0.61 117.0 42.0
67.16 VLA 6.0 42.6 4.1
72.2 VLA 4.5 54.6 5.5
75.49 ATCA 7.25 44.9 5.4
92.4 ATCA 7.25 39.6 7.0
93.07 VLA 1.5 98.0 14.0
93.13 VLA 3.0 70.0 5.7
93.19 VLA 15.0 18.6 3.1
107.36 ATCA 7.25 66.5 5.6
125.3 ATCA 7.25 72.8 6.2
149.26 ATCA 7.25 75.8 5.4
181.64 ATCA 7.25 72.4 8.6
196.79 VLA 2.5 91.0 9.1
196.79 VLA 3.5 66.9 6.1
215.0 VLA 10.0 36.3 3.6
220.25 VLA 3.0 64.7 2.7
221.0 ATCA 7.25 49.6 9.0
267.0 VLA 3.0 40.3 2.7
267.0 ATCA 7.25 31.3 5.1
294.0 VLA 3.0 31.2 3.6
298.0 ATCA 7.25 29.3 5.2
183.0 GMRT 0.65 211.0 34.0
80.1 VLA 6.0 37.4 4.2
112.04 VLA 5.0 69.7 7.5
112.04 VLA 7.0 57.7 4.7
115.05 VLA 2.6 82.3 20.7
115.05 VLA 3.4 95.8 11.0
115.05 VLA 9.0 56.4 10.4
115.05 VLA 11.0 52.5 10.1
115.05 VLA 13.0 42.3 5.7
115.05 VLA 15.0 45.2 7.0
115.05 VLA 17.0 44.0 7.9
162.89 VLA 2.6 104.5 22.3
162.89 VLA 3.4 91.2 17.4
162.89 VLA 5.0 80.8 12.5
162.89 VLA 7.0 61.1 7.3
162.89 VLA 9.0 55.0 9.9
162.89 VLA 11.0 34.4 10.0
162.89 VLA 13.0 41.7 6.3
162.89 VLA 15.0 38.9 7.2
162.89 VLA 17.0 43.5 7.7
216.91 VLA 3.0 68.0 21.0
216.88 VLA 6.0 39.0 9.0
216.85 VLA 10.0 28.0 7.0
216.8 VLA 15.0 21.0 5.0
256.76 VLA 3.0 55.0 12.0
272.67 VLA 3.0 44.0 11.0
272.61 VLA 6.0 36.0 7.0
288.61 VLA 3.0 46.0 11.0
288.55 VLA 6.0 35.0 7.0
